canonical_name,category,status,expected_type,default_value,constraints,effect_role,remarks,kv_keys,cpp_fields,aliases,runner_variables,source_paths,milestones,source_inventory
DarcyBrinkmanConfig.initialDeactivateBelowChi,Darcy/Brinkman — état initial chi,ajout 0418,double,-1 ou 0.05 selon script,<0 désactive; sinon seuil chi,Désactive initialement les particules situées dans les cellules de chi inférieur au seuil.,Valeur 0.05 retenue pour backward step afin d’éviter une masse fluide initiale dans le solide.,darcyInitialDeactivateBelowChi,,DARCY_INITIAL_DEACTIVATE_BELOW_CHI,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DarcyBrinkmanConfig.q,Darcy/Brinkman — interpolation alpha,ajout 0343,double,0.1,>0,Paramètre de raideur de l’interpolation Borrvall--Petersson alpha(chi).,Plus petit q accentue la transition solide/fluide.,darcyQ,,DARCY_Q,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DarcyBrinkmanConfig.threadsPerBlock,Darcy/Brinkman — CUDA,ajout 0343,entier,256,multiple raisonnable de warp,Taille de bloc CUDA utilisée par les kernels Darcy.,,darcyThreadsPerBlock,,DARCY_THREADS_PER_BLOCK,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DarcyBrinkmanConfig.uSolidX,Darcy/Brinkman — vitesse solide,ajout 0343,double,0.0,réel,Composante x de la vitesse cible solide vers laquelle le frein Darcy relaxe.,,darcyUSolidX,,DARCY_USOLID_X,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DarcyBrinkmanConfig.uSolidY,Darcy/Brinkman — vitesse solide,ajout 0343,double,0.0,réel,Composante y de la vitesse cible solide vers laquelle le frein Darcy relaxe.,,darcyUSolidY,,DARCY_USOLID_Y,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyBrinkmanEnable,Darcy/chiVP — géométrie et aliases,ajout 0343/0418–0426; complété inventaire 0490p,booléen,false,true/1/yes/on ou false/0/no/off.,Alias de darcyBrinkmanEnable.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b.,topoDarcyEnable,,darcyBrinkmanEnable,,include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23
darcyBrinkmanForcingMode,Darcy/chiVP — géométrie et aliases,ajout 0343/0418–0426; complété inventaire 0490p,chaîne,mean,,Alias de darcyBrinkmanForcingMode.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b.,darcyForcingMode,,darcyBrinkmanForcingMode,DARCY_BRINKMAN_FORCING_MODE,include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23
DarcyChiCollisionVpConfig.darcyChiCollisionVpEnable,Darcy/Brinkman — chiVP collision,ajout 0422; complété 0424/0425,booléen,false ou true selon script,true/false,Active les moments virtuels de collision dérivés de chi.,Pas de particules persistantes : contribution effective au centre de masse de collision.,darcyChiCollisionVpEnable,,DARCY_CHI_COLLISION_VP_ENABLE,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DarcyChiCollisionVpConfig.darcyChiCollisionVpGamma,Darcy/Brinkman — chiVP collision,ajout 0422; complété 0424/0425,entier/double,-1,-1 hérite gamma nominal; sinon valeur explicite,Occupation virtuelle de référence pour chiVP.,-1 utilisé dans les scripts pour rester cohérent avec GAMMA.,darcyChiCollisionVpGamma,,DARCY_CHI_COLLISION_VP_GAMMA,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DarcyChiCollisionVpConfig.darcyChiCollisionVpLayers,Darcy/Brinkman — chiVP collision,ajout 0422; complété 0424/0425,entier,1,>=1,Nombre de couches d’interface prises en compte.,,darcyChiCollisionVpLayers,,DARCY_CHI_COLLISION_VP_LAYERS,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DarcyChiCollisionVpConfig.darcyChiCollisionVpMass,Darcy/Brinkman — chiVP collision,ajout 0422; complété 0424/0425,double,1.0,>0,Masse unitaire virtuelle utilisée dans le moment effectif.,,darcyChiCollisionVpMass,,DARCY_CHI_COLLISION_VP_MASS,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DarcyChiCollisionVpConfig.darcyChiCollisionVpMode,Darcy/Brinkman — chiVP collision,ajout 0422; complété 0424/0425,chaîne,interface_band,interface_band,Sélectionne la zone chi utilisée pour les moments virtuels.,Mode nominal : bande d’interface.,darcyChiCollisionVpMode,,DARCY_CHI_COLLISION_VP_MODE,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DarcyChiCollisionVpConfig.darcyChiCollisionVpStrength,Darcy/Brinkman — chiVP collision,ajout 0422; complété 0424/0425,double,0.25 ou 1.0 selon script,>=0,Gain relatif de la contribution chiVP.,0.25 retenu après sweep Von Karman filtré et backward step 0425.,darcyChiCollisionVpStrength,,DARCY_CHI_COLLISION_VP_STRENGTH,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DarcyChiCollisionVpConfig.darcyChiCollisionVpThreshold,Darcy/Brinkman — chiVP collision,ajout 0422; complété 0424/0425,double,0.5,0..1,Seuil chi pour détecter l’interface virtuelle.,,darcyChiCollisionVpThreshold,,DARCY_CHI_COLLISION_VP_THRESHOLD,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyChiCollisionVpEnable,Darcy/chiVP — géométrie et aliases,ajout 0343/0418–0426; complété inventaire 0490p,booléen,false,true/1/yes/on ou false/0/no/off.,Alias accepté de darcyChiCollisionVpEnable.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b.,darcyCollisionVpEnable;topoChiCollisionVpEnable,,darcyChiCollisionVpEnable,DARCY_CHI_COLLISION_VP_ENABLE,include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23
darcyChiCollisionVpGamma,Darcy/chiVP — géométrie et aliases,ajout 0343/0418–0426; complété inventaire 0490p,double,-1.0,nombre réel fini; contraintes détaillées vérifiées par validate_simulation_params.,Alias accepté de darcyChiCollisionVpGamma.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b.,darcyCollisionVpGamma;topoChiCollisionVpGamma,,darcyChiCollisionVpGamma,DARCY_CHI_COLLISION_VP_GAMMA,include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23
darcyChiCollisionVpLayers,Darcy/chiVP — géométrie et aliases,ajout 0343/0418–0426; complété inventaire 0490p,entier,1,entier; contraintes détaillées vérifiées par validate_simulation_params.,Alias accepté de darcyChiCollisionVpLayers.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b.,darcyCollisionVpLayers;topoChiCollisionVpLayers,,darcyChiCollisionVpLayers,DARCY_CHI_COLLISION_VP_LAYERS,include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23
darcyChiCollisionVpMass,Darcy/chiVP — géométrie et aliases,ajout 0343/0418–0426; complété inventaire 0490p,double,1.0,nombre réel fini; contraintes détaillées vérifiées par validate_simulation_params.,Alias accepté de darcyChiCollisionVpMass.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b.,darcyCollisionVpMass;topoChiCollisionVpMass,,darcyChiCollisionVpMass,DARCY_CHI_COLLISION_VP_MASS,include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23
darcyChiCollisionVpMode,Darcy/chiVP — géométrie et aliases,ajout 0343/0418–0426; complété inventaire 0490p,chaîne,interface_band,,Alias accepté de darcyChiCollisionVpMode.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b.,darcyCollisionVpMode;topoChiCollisionVpMode,,darcyChiCollisionVpMode,DARCY_CHI_COLLISION_VP_MODE,include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23
darcyChiCollisionVpStrength,Darcy/chiVP — géométrie et aliases,ajout 0343/0418–0426; complété inventaire 0490p,double,1.0,nombre réel fini; contraintes détaillées vérifiées par validate_simulation_params.,Alias accepté de darcyChiCollisionVpStrength.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b.,darcyCollisionVpStrength;topoChiCollisionVpStrength,,darcyChiCollisionVpStrength,DARCY_CHI_COLLISION_VP_STRENGTH,include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23
darcyChiCollisionVpThreshold,Darcy/chiVP — géométrie et aliases,ajout 0343/0418–0426; complété inventaire 0490p,double,0.5,nombre réel fini; contraintes détaillées vérifiées par validate_simulation_params.,Alias accepté de darcyChiCollisionVpThreshold.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b.,darcyCollisionVpThreshold;topoChiCollisionVpThreshold,,darcyChiCollisionVpThreshold,DARCY_CHI_COLLISION_VP_THRESHOLD,include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23
darcyCircleCx,Darcy/chiVP — géométrie et aliases,ajout 0343/0418–0426; complété inventaire 0490p,double,0.5,nombre réel fini; contraintes détaillées vérifiées par validate_simulation_params.,Coordonnée x du centre du cercle/cylindre Darcy analytique.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,darcyCircleCx,darcyCircleCx,,,include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
darcyCircleCy,Darcy/chiVP — géométrie et aliases,ajout 0343/0418–0426; complété inventaire 0490p,double,0.5,nombre réel fini; contraintes détaillées vérifiées par validate_simulation_params.,Coordonnée y du centre du cercle/cylindre Darcy analytique.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,darcyCircleCy,darcyCircleCy,,,include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
darcyCircleR,Darcy/chiVP — géométrie et aliases,ajout 0343/0418–0426; complété inventaire 0490p,double,0.1,>0 pour le mode circle/cylinder.,Rayon du cercle/cylindre Darcy analytique.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,darcyCircleR,darcyCircleR,,,include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
darcyInitialDeactivateBelowChi,Darcy/chiVP — géométrie et aliases,ajout 0343/0418–0426; complété inventaire 0490p,double,-1.0,nombre réel fini; contraintes détaillées vérifiées par validate_simulation_params.,Alias de darcyInitialDeactivateBelowChi.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b.,darcyDeactivateInitialBelowChi,,darcyInitialDeactivateBelowChi,DARCY_INITIAL_DEACTIVATE_BELOW_CHI,include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23
darcyInterfaceWidth,Darcy/chiVP — géométrie et aliases,ajout 0343/0418–0426; complété inventaire 0490p,double,0.0,>=0.,Largeur de lissage de l’interface analytique chi.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,darcyInterfaceWidth,darcyInterfaceWidth,,,include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
darcyUniformChi,Darcy/chiVP — géométrie et aliases,ajout 0343/0418–0426; complété inventaire 0490p,double,1.0,nombre réel fini; contraintes détaillées vérifiées par validate_simulation_params.,Valeur uniforme de chi lorsque darcyChiMode=uniform.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,darcyUniformChi,darcyUniformChi,,,include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
dt,Temps et collision SRC,existant catalogue 0292 | canonique,double,1.0e-3,> 0,Pas de temps MPCD/SRD.,,dt,dt,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
